sentence	aspect	polarity
Biggest piece of junk I have ever purchased.	laptop quality	negative
This clunker however stopped working after only two weeks of having it delivered.	laptop operation performance	negative
This clunker however stopped working after only two weeks of having it delivered.	laptop quality	negative
It would have a full charge yet would turn itself off for no explainable reason after being on for 5 minutes.	laptop operation performance	negative
The second one, after a little over a month, refused to turn on even with a full charge.	laptop operation performance	negative
The second one, after a little over a month, refused to turn on even with a full charge.	laptop quality	negative
What a lemon!!	laptop quality	negative
This is a big disappointment.	laptop general	negative
I only use a laptop for personal use, but this one can't even handle that!	laptop miscellaneous	negative
It takes a long time to load any page.	laptop operation performance	negative
I've had it for a minth and so far it's shut down completely 3 times.	laptop operation performance	negative
I've had it for a minth and so far it's shut down completely 3 times.	laptop quality	negative
I have had Dell Desktops for years, so had no qualms about buying a Dell laptop.	company general	negative
I have had Dell Desktops for years, so had no qualms about buying a Dell laptop.	laptop general	negative
I've always sworn by dell.	company general	positive
So with this new order, all the upgrades and windows 8 really caught my eye and I got this for the long haul.	laptop design features	positive
So with this new order, all the upgrades and windows 8 really caught my eye and I got this for the long haul.	os general	positive
I am not ultra tech savvy but I can tell when it works slow!	laptop operation performance	negative
I barely have any files or downloads and its almost impossible to get this thing to load.	laptop connectivity	negative
I barely have any files or downloads and its almost impossible to get this thing to load.	laptop operation performance	negative
I'm so disappointed.	laptop general	negative
In two months, both the power cord pin broke (the company replaced it) and then the CD drive literally jumped out of the laptop unannounced and shattered into a million pieces.	optical drives quality	negative
In two months, both the power cord pin broke (the company replaced it) and then the CD drive literally jumped out of the laptop unannounced and shattered into a million pieces.	power supply quality	negative
In two months, both the power cord pin broke (the company replaced it) and then the CD drive literally jumped out of the laptop unannounced and shattered into a million pieces.	support quality	neutral
In addition, no matter what I do to change the settings, add/delete Flash, etc., Firefox hangs on start-up.	software operation performance	negative
It seems like Lenovo also makes weird choices about which side to put the powercord and other slots on.	company general	negative
It seems like Lenovo also makes weird choices about which side to put the powercord and other slots on.	laptop design features	negative
The cords always feel like they are in my way.	laptop design features	negative
One positive aspect of this laptop is the keyboard, which is larger than usual.	keyboard design features	positive
It's a pleasure to type on.	keyboard usability	positive
My final thoughts: if you are a Mac user, stay away.	laptop miscellaneous	negative
If you want to travel with this laptop, don't buy it.	laptop portability	negative
It's clunky, heavy, and a pain to start up and shut down.	laptop design features	negative
It's clunky, heavy, and a pain to start up and shut down.	laptop operation performance	negative
It's clunky, heavy, and a pain to start up and shut down.	laptop portability	negative
